No.,当前最大误差(同输入),全局最大误差(同输入),引起最大误差的输入编号1,当前最大误差(同算子),全局最大误差(同算子),引起最大误差的输入编号2
0,4.400313e-05,4.400313e-05,0,4.400313e-05,4.400313e-05,0
1,0.0003426969,0.0003426969,756,0.0003426969,0.0003426969,756
2,0.00034342824245076065,0.00034342824245076065,1586,0.00034342824245076065,0.00034342824245076065,1586
3,0.00036063177678857805,0.00036063177678857805,2047,0.00036063177678857805,0.00036063177678857805,2047
4,0.0003565585880390132,0.00036063177678857805,3400,0.0003565585880390132,0.00036063177678857805,3400
5,0.0003616317767886068,0.0003616317767886068,4646,0.0003616317767886068,0.0003616317767886068,4646
6,0.0003453795698601103,0.0003616317767886068,5027,0.0003453795698601103,0.0003616317767886068,5027
7,0.00030203164,0.0003616317767886068,6203,0.00030203164,0.0003616317767886068,6203
8,0.00024576948524113185,0.0003616317767886068,7332,0.00024576948524113185,0.0003616317767886068,7332
9,0.00043155858803911595,0.00043155858803911595,8410,0.00043155858803911595,0.00043155858803911595,8410
10,0.00025966763,0.00043155858803911595,9335,0.00025966763,0.00043155858803911595,9335
11,0.0003187383508870235,0.00043155858803911595,10969,0.0003187383508870235,0.00043155858803911595,10969
12,0.00036263177678863556,0.00043155858803911595,11879,0.00036263177678863556,0.00043155858803911595,11879
13,0.0003463924,0.00043155858803911595,12944,0.0003463924,0.00043155858803911595,12944
14,0.00034539402,0.00043155858803911595,12989,0.00034539402,0.00043155858803911595,12989
15,0.00024466962,0.00043155858803911595,14292,0.00024466962,0.00043155858803911595,14292
16,0.00022714213,0.00043155858803911595,15863,0.00022714213,0.00043155858803911595,15863
17,0.0003027575629717949,0.00043155858803911595,16211,0.0003027575629717949,0.00043155858803911595,16211
18,0.00026902184,0.00043155858803911595,17114,0.00026902184,0.00043155858803911595,17114
19,0.00025601685,0.00043155858803911595,18276,0.00025601685,0.00043155858803911595,18276
20,0.00024576198524117743,0.00043155858803911595,19293,0.00024576198524117743,0.00043155858803911595,19293
