No.,当前最大误差(同输入),全局最大误差(同输入),引起最大误差的输入编号1,当前最大误差(同算子),全局最大误差(同算子),引起最大误差的输入编号2
0,0.000115551054,0.000115551054,0,3.42258693669939e-05,3.42258693669939e-05,0
1,0.00022993870056828292,0.00022993870056828292,571,0.00010146576650520156,0.00010146576650520156,68
2,0.00022567809,0.00022993870056828292,1648,0.00010514259,0.00010514259,1967
3,0.00020456198,0.00022993870056828292,2025,0.00012845804574293518,0.00012845804574293518,2809
4,0.00023025719687730373,0.00023025719687730373,3958,0.00011382997,0.00012845804574293518,3339
5,0.00021317601,0.00023025719687730373,4885,0.00011815876,0.00012845804574293518,4122
6,0.00022569299,0.00023025719687730373,5777,0.00011847960192797047,0.00012845804574293518,5913
7,0.00020455942,0.00023025719687730373,6371,0.00010015387771590556,0.00012845804574293518,6750
8,0.00019133091,0.00023025719687730373,7692,0.00012883942992983344,0.00012883942992983344,7693
9,0.0001994470134832338,0.00023025719687730373,8926,0.00011382997,0.00012883942992983344,8975
10,0.0002144610257086288,0.00023025719687730373,9256,8.970866343315648e-05,0.00012883942992983344,9945
11,0.00023057569365633745,0.00023057569365633745,10696,0.00010090539588919478,0.00012883942992983344,10149
12,0.00021889806,0.00023057569365633745,11139,0.0001187399,0.00012883942992983344,11158
13,0.00022926927,0.00023057569365633745,12288,9.769524663532508e-05,0.00012883942992983344,12341
14,0.00022065375164079248,0.00023057569365633745,13086,9.824108119968478e-05,0.00012883942992983344,13059
15,0.00021948144557180915,0.00023057569365633745,14927,0.0001047799602493793,0.00012883942992983344,14898
16,0.00022569299,0.00023057569365633745,15812,0.00010713356977024024,0.00012883942992983344,15548
17,0.000191108162948872,0.00023057569365633745,16479,0.00011847366221423572,0.00012883942992983344,16205
18,0.00020455685,0.00023057569365633745,17504,9.2122704e-05,0.00012883942992983344,17504
19,0.00019263476,0.00023057569365633745,18560,0.00010835379,0.00012883942992983344,18048
20,0.00018863752,0.00023057569365633745,19714,0.00010503046353371737,0.00012883942992983344,19657
